source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,6,BlockSal,98,2337.6,3708.6,15.64,7084.7,6011.2
ruler,niah_single,4096,6,BlockSal,128,2337.6,2473.1,15.37,7084.7,6016.4
ruler,niah_single,4096,6,BlockSal,256,2337.6,6014.6,15.96,7084.7,6037.1
ruler,niah_single,4096,6,BlockSal,512,2337.6,6070.1,15.82,7084.7,6078.7
ruler,niah_single,4096,6,SnapKV,98,2337.6,1983.3,16.13,7084.7,6003.5
ruler,niah_single,4096,6,SnapKV,128,2337.6,1008.8,13.88,7084.7,6004.7
ruler,niah_single,4096,6,SnapKV,256,2337.6,5819.9,15.98,7084.7,6008.1
ruler,niah_single,4096,6,SnapKV,512,2337.6,5112.0,15.85,7084.7,6017.3
ruler,niah_single,4096,6,AdaSnapKV,98,2337.6,4387.3,15.73,7084.7,6016.2
ruler,niah_single,4096,6,AdaSnapKV,128,2337.6,1443.7,14.55,7084.7,6022.4
ruler,niah_single,4096,6,AdaSnapKV,256,2337.6,6000.2,16.0,7084.7,6049.3
ruler,niah_single,4096,6,AdaSnapKV,512,2337.6,6037.6,15.9,7084.7,6103.2
ruler,niah_single,4096,6,H2O,98,2337.6,5905.2,16.26,7084.7,6011.5
ruler,niah_single,4096,6,H2O,128,2337.6,1433.7,14.65,7084.7,6016.4
ruler,niah_single,4096,6,H2O,256,2337.6,5904.0,16.26,7084.7,6037.1
ruler,niah_single,4096,6,H2O,512,2337.6,5992.9,16.02,7084.7,6078.7
ruler,niah_single,4096,6,KiaOmni_σ8,98,2337.6,5886.8,16.31,7084.7,6011.5
ruler,niah_single,4096,6,KiaOmni_σ8,128,2337.6,5893.5,16.29,7084.7,6016.4
ruler,niah_single,4096,6,KiaOmni_σ8,256,2337.6,5948.0,16.14,7084.7,6037.1
ruler,niah_single,4096,6,KiaOmni_σ8,512,2337.6,5986.8,16.04,7084.7,6078.7
ruler,niah_single,4096,6,KiaOmni_Gaussian,98,2337.6,4316.4,15.99,7084.7,6011.5
ruler,niah_single,4096,6,KiaOmni_Gaussian,128,2337.6,5910.3,16.24,7084.7,6016.4
ruler,niah_single,4096,6,KiaOmni_Gaussian,256,2337.6,5953.8,16.12,7084.7,6037.1
ruler,niah_single,4096,6,KiaOmni_Gaussian,512,2337.6,6046.3,15.88,7084.7,6078.7
ruler,niah_single,4096,7,FullContext,98,2300.5,1680.4,3.57,7084.7,6647.6
ruler,niah_single,4096,7,FullContext,128,2300.5,1680.4,3.57,7084.7,6647.6
ruler,niah_single,4096,7,FullContext,256,2300.5,1680.4,3.57,7084.7,6647.6
ruler,niah_single,4096,7,FullContext,512,2300.5,1680.4,3.57,7084.7,6647.6
ruler,niah_single,4096,7,BlockSal,98,2300.5,526.3,11.4,7084.7,6011.2
ruler,niah_single,4096,7,BlockSal,128,2300.5,5915.6,16.23,7084.7,6016.4
ruler,niah_single,4096,7,BlockSal,256,2300.5,5945.8,16.15,7084.7,6037.1
ruler,niah_single,4096,7,BlockSal,512,2300.5,5977.3,16.06,7084.7,6078.7
ruler,niah_single,4096,7,SnapKV,98,2300.5,756.5,13.22,7084.7,6003.5
ruler,niah_single,4096,7,SnapKV,128,2300.5,4971.9,16.09,7084.7,6004.7
ruler,niah_single,4096,7,SnapKV,256,2300.5,5917.7,16.22,7084.7,6009.5
ruler,niah_single,4096,7,SnapKV,512,2300.5,5961.4,16.1,7084.7,6018.1
ruler,niah_single,4096,7,AdaSnapKV,98,2300.5,5931.5,16.18,7084.7,6013.8
ruler,niah_single,4096,7,AdaSnapKV,128,2300.5,5944.5,16.15,7084.7,6019.3
ruler,niah_single,4096,7,AdaSnapKV,256,2300.5,559.5,10.72,7084.7,6043.1
ruler,niah_single,4096,7,AdaSnapKV,512,2300.5,631.2,9.51,7084.7,6090.7
ruler,niah_single,4096,7,H2O,98,2300.5,2633.8,15.57,7084.7,6011.5
ruler,niah_single,4096,7,H2O,128,2300.5,5926.8,16.2,7084.7,6016.4
ruler,niah_single,4096,7,H2O,256,2300.5,2830.9,15.54,7084.7,6037.1
ruler,niah_single,4096,7,H2O,512,2300.5,971.3,12.35,7084.7,6078.7
ruler,niah_single,4096,7,KiaOmni_σ8,98,2300.5,5924.3,16.2,7084.7,6011.5
ruler,niah_single,4096,7,KiaOmni_σ8,128,2300.5,5960.1,16.11,7084.7,6016.4
ruler,niah_single,4096,7,KiaOmni_σ8,256,2300.5,5903.6,16.26,7084.7,6037.1
ruler,niah_single,4096,7,KiaOmni_σ8,512,2300.5,6006.7,15.98,7084.7,6078.7
ruler,niah_single,4096,7,KiaOmni_Gaussian,98,2300.5,524.9,11.43,7084.7,6011.5
ruler,niah_single,4096,7,KiaOmni_Gaussian,128,2300.5,5897.6,16.28,7084.7,6016.4
ruler,niah_single,4096,7,KiaOmni_Gaussian,256,2300.5,5956.4,16.12,7084.7,6037.1
ruler,niah_single,4096,7,KiaOmni_Gaussian,512,2300.5,5999.8,16.0,7084.7,6078.7
ruler,niah_single,4096,8,FullContext,98,2335.6,1743.9,4.01,7085.0,6647.8
ruler,niah_single,4096,8,FullContext,128,2335.6,1743.9,4.01,7085.0,6647.8
ruler,niah_single,4096,8,FullContext,256,2335.6,1743.9,4.01,7085.0,6647.8
ruler,niah_single,4096,8,FullContext,512,2335.6,1743.9,4.01,7085.0,6647.8
ruler,niah_single,4096,8,BlockSal,98,2335.6,5940.5,16.16,7085.0,6011.2
ruler,niah_single,4096,8,BlockSal,128,2335.6,5919.2,16.22,7085.0,6016.4
ruler,niah_single,4096,8,BlockSal,256,2335.6,5912.7,16.24,7085.0,6037.1
ruler,niah_single,4096,8,BlockSal,512,2335.6,5988.7,16.03,7085.0,6078.7
ruler,niah_single,4096,8,SnapKV,98,2335.6,1360.0,15.44,7085.0,6003.5
ruler,niah_single,4096,8,SnapKV,128,2335.6,5866.3,16.36,7085.0,6004.8
ruler,niah_single,4096,8,SnapKV,256,2335.6,1909.9,15.18,7085.0,6012.1
ruler,niah_single,4096,8,SnapKV,512,2335.6,2057.0,15.07,7085.0,6022.5
ruler,niah_single,4096,8,AdaSnapKV,98,2335.6,5947.6,16.14,7085.0,6017.0
ruler,niah_single,4096,8,AdaSnapKV,128,2335.6,5915.6,16.23,7085.0,6023.5
ruler,niah_single,4096,8,AdaSnapKV,256,2335.6,619.1,11.31,7085.0,6051.6
ruler,niah_single,4096,8,AdaSnapKV,512,2335.6,719.0,9.74,7085.0,6107.8
ruler,niah_single,4096,8,H2O,98,2335.6,3369.3,15.73,7085.0,6011.5
ruler,niah_single,4096,8,H2O,128,2335.6,3011.8,15.61,7085.0,6016.4
ruler,niah_single,4096,8,H2O,256,2335.6,2650.5,15.47,7085.0,6037.1
